ClauseLikeUnit(CLU)-value,Duration,Question,Eye&Brow-value,Head-value,MouthGestF-value,MouthGestF-question,Mouthing-value,Mouthing-question,Q-manual-value,Q-nonmanual-value,Q-position-value,Q-semantic-value,Q-social action-value,CLUcomposite-value,CLUwithinCLU-value,CLUcomplex-value,CA-value,RH-IDgloss-value,LH-IDgloss-value,LitTransl-value,FreeTransl-value,Comments-value
BL10F44WHC_CLU#004,1493,Continuing-NR,up,Up,NA,NA,"also, deaf, com(munity)",NA,Absent,Present,NA,Other,rhetorical,Depend,NA,dependent,NA,"SAME, DEAF, COMMUNITY, PT:PRO1SG, FROM-TO","SAME, FBUOY, COMMUNITY, FROM-TO",also deaf community coming-here?,Now they have all gone.,
BL10F44WHC_CLU#012,761,Continuing,up,Down,NA,NA,"feel, feel-prog",NA,Single,Present,post-predicate (non-reprise & clause-final),Content,request information,Single,NA,NA,NA,"FEEL, PT:PRO2SG, WHAT",,you feel what?,What are your views?,
BL10F44WHC_CLU#018,1190,Continuing,down,Nod,NA,NA,sad,NA,Single,Present,post-predicate (non-reprise & clause-final),Other,assessment,Single,NA,NA,NA,"TRUE, SAD, G:WELL","TRUE, FBUOY, G:WELL",(it's) really sad (you know?),That's a sad aspect of a situation.,
BL10F44WHC_CLU#020,1122,Initiating,"up, null","Nod, Null",NA,NA,"Wed(nesday), operation, operation-prog",NA,Single,Present,post-predicate (non-reprise & clause-final),Content,request information,Single,NA,NA,NA,"PT:DET/FUTURE, WEDNESDAY, OPERATE, WHAT",WEDNESDAY,ah Wednesday operation what?,What's your operation on Wednesday for?,"HP:I do not see PT:DETor FUTURE here. If it is PT:DET it could be part of the following NP, HP:If OPERATE is a noun then this is an Adj. If OPERATE is a verb then this is an Adv GH: NoV - can't say either way"
BL10F44WHC_CLU#021,2790,Initiating-NR,"null, down, null","Nod, Null",NA,NA,"mean, mean-prog, mean-prog, bo(ne), bone-prog/wha(t), mean",Single,Single,Present,other,Content,OIR-restricted,Single,NA,NA,NA,"MEANING, PT:POSS2SG/DET, SHOULDER, HARD02, WHAT, MEANING, G:WELL","MEANING, HARD02, MEANING, G:WELL",mean your shoulder-there bone what (what) mean?,What's the problem with your shoulder bone?,
BL10F44WHC_CLU#022,1811,Continuing-NR,null,Null,NA,NA,call,NA,Absent,Present,NA,Content,OIR-restricted,Single,NA,NA,NA,"NAME, G:WELL, DSEW(FIST)-MOVE","FBUOY, G:WELL, DSEW(FLAT)-BE",(what is it) called...bone-hit-muscle,Isn't there inflammation in the shoulder joint?,"HP: There is noun information in here, describing the bone and socket GH: interesting that body parts and other inner workings of people/machines get put into observer perspective"
BL10F44WHC_CLU#023,1229,Continuing,up,Null,NA,NA,"mean, inflammed",NA,Single,Present,post-predicate (non-reprise & clause-final),Polar,OIR-restricted,Single,NA,NA,NA,"MEANING, FS:I-INFLAMMATION, PT:","MEANING, FS:I-INFLAMMATION, FBUOY",you mean (it's) inflammed?,Isn't there inflammation in the shoulder joint?,
BL10F44WHC_CLU#025,1853,Initiating,up,"Down, HS1",NA,NA,"in, school",NA,Single,Present,post-predicate (non-reprise & clause-final),Polar,OIR-restricted,Single,NA,NA,NA,"GO-IN, SCHOOL02, PT:PRO3SG",GO-IN,oh (when) you in school (or no)?,Was it in your school?,
BL10F44WHC_CLU#027,1385,Initiating,up,Forward,NA,NA,"same, time",NA,Absent,Present,NA,Polar,OIR-restricted,Single,NA,NA,NA,"SAME, TIME, PT:PRO3PL","SAME, TIME, FBUOY",(ah both happen) same time?,So the two injuries happened at the same time?,
BL10F44WHC_CLU#032,2146,Continuing,down,Forward,NA,NA,been,NA,Single,Present,post-predicate (non-reprise & clause-final),Polar,request confirmation,Embed,contained,NA,NA,"MOTORBIKE, CRASH, FALL, BEEN, PT:PRO2SG","MOTORBIKE, CRASH",motorbike crash fall-off-bike you been?,"Ouch, and I recall you were involved in a motorbike accident, weren't you?",SG: not sure if there is actually any perspective on this GH: I think maybe as annotated now?
BL10F44WHC_CLU#036,4448,Initiating,"null, up , null","Null, Down, Null",NA,NA,"you, Wednesday, hospital, how long",Single,Single,Present,other,Content,request information,Single,NA,NA,NA,"G:ERM, PT:PRO2SG, G:ERM, PT:DET/FUTURE, ADD-TO-SIGNBANK(WEDNESDAY2), STAY, HOSPITAL, LONG, STAY","G:ERM, PT:PRO2SG, ADD-TO-SIGNBANK(WEDNESDAY2), STAY, HOSPITAL, LONG, STAY",erm you this Wednesday stay hospital how-long stay?,How long will you stay for this Wednesday?,JF: now congruent because of previous verb
BL10F44WHC_CLU#038,3267,Initiating,null,"HS, Null",PRESSED-LIPS,YES,"operation, how long",Single,Multiple,Present,reprise (clause-final),Content,request information,Single,NA,NA,NA,"OPERATE, G:WELL, LONG, G:WELL","G:WELL, FBUOY, G:WELL",operation that well how-long do-you-know?,Do you know how long the operation will take?,
BL10F44WHC_CLU#041,2682,Continuing,"up, down","Null, HS",NA,NA,"after, fit, or",NA,Single,Present,post-predicate (non-reprise & clause-final),Alternative,request confirmation,Single,NA,NA,CA:SIGNER?,"NEXT, G:CA:ABLE-TO-MOVE, HEALTHY, G:WELL","NEXT, G:CA:ABLE-TO-MOVE, HEALTHY, G:WELL",after (you will be) flexible (and) fit or...?,Will you be super-flexible afterwards or not?,TJ checked negation and this is question tag to main CLU
BL10F44WHC_CLU#043,898,Initiating,down,Null,NA,NA,"work, what",Single,Multiple,Present,reprise (clause-final),Content,request information,Single,NA,NA,NA,"PT:PRO2SG, WORK, WHAT, PT:PRO2SG, WHAT",WORK,you/your work you what?,What is your job?,
